Nutrient,Min_Val,Max_Val,Min_Val_Risks,Max_Val_Risks
Sodium Sorbate Variant 829,93.12,300.33,Fatigue,Liver strain
MSG (Monosodium Glutamate) Variant 830,40.19,279.19,Memory problems,Hypertension
Vanillin Variant 831,192.56,320.2,Low immunity,Kidney damage
Artificial Chocolate Flavor Variant 832,186.74,418.01,Poor digestion,Heart disease
Manganese Variant 833,181.63,205.66,Anemia,Nerve damage
Phytic Acid Variant 834,113.69,187.53,Anemia,Kidney damage
Canola Oil Variant 835,15.02,51.68,Vision issues,Hypertension
Iron Variant 836,180.28,399,Bone weakness,Liver strain
Preservatives (Sodium Benzoate) Variant 837,98.15,204.81,Low immunity,Obesity
Sodium Sorbate Variant 838,108.45,337.2,Anemia,Nerve damage
Vitamin D Variant 839,138.04,279.87,Fatigue,Hypertension
Lactic Acid Variant 840,64.36,299.77,Hormonal imbalance,Hypertension
Fat (Total) Variant 841,57.16,286.99,Bone weakness,Hypertension
Guar Gum Variant 842,191.13,242.13,Memory problems,Heart disease
Potassium Sorbate Variant 843,126.26,337.1,Vision issues,Hypertension
Gluten Variant 844,166.96,427.39,Vision issues,Stroke
Iodine Variant 845,85.56,137.46,Muscle weakness,Gastro issues
Cocoa Powder Variant 846,54.76,100.68,Vision issues,Toxicity
Almonds Variant 847,85.89,224.96,Vision issues,Gastro issues
Dextrose Variant 848,187.96,406.64,Poor growth,Diabetes
Guar Gum Variant 849,19.63,114.67,Muscle weakness,Toxicity
Vitamin E Variant 850,19.43,196.33,Low immunity,Obesity
Milk Powder Variant 851,149.01,204.88,Poor digestion,Heart disease
Artificial Strawberry Flavor Variant 852,50.7,132.71,Low immunity,Heart disease
Lactic Acid Variant 853,9.72,259.16,Low immunity,Heart disease
Saturated Fat Variant 854,93.99,338.83,Muscle weakness,Heart disease
Sorbitol Variant 855,12.66,119.96,Poor growth,Obesity
Calcium Propionate Variant 856,124.14,311.73,Vision issues,Stroke
Artificial Sweeteners Variant 857,37.9,317.44,Poor growth,Heart disease
Mannitol Variant 858,87.8,212.06,Poor growth,Heart disease
Sucralose Variant 859,118.59,397.65,Bone weakness,Diabetes
Manganese Variant 860,73.51,251.1,Memory problems,Heart disease
Zinc Variant 861,183.28,452.54,Fatigue,Kidney damage
Sorbitol Variant 862,155.07,400.34,Hormonal imbalance,Toxicity
Vitamin C Variant 863,132.28,364.01,Vision issues,Obesity
Caramel Color Variant 864,167.96,355.46,Muscle weakness,Obesity
Zinc Variant 865,24.37,120.14,Memory problems,Kidney damage
Sodium Nitrate Variant 866,22.88,261.45,Vision issues,Gastro issues
Sugar Variant 867,166.68,188.39,Fatigue,Liver strain
Antioxidants Variant 868,35.8,78.7,Poor growth,Nerve damage
Vitamin B2 Variant 869,39.73,246.56,Bone weakness,Nerve damage
Probiotics Variant 870,177.41,438.19,Poor digestion,Nerve damage
Vitamin B12 Variant 871,5.83,285.34,Fatigue,Hypertension
Almonds Variant 872,98.19,236,Muscle weakness,Gastro issues
Gelatin Variant 873,172.42,324.14,Poor growth,Diabetes
Phytic Acid Variant 874,125.34,273.63,Muscle weakness,Diabetes
Citric Acid Variant 875,83.69,254.21,Muscle weakness,Hypertension
Vitamin K Variant 876,194.39,419.53,Bone weakness,Gastro issues
Sodium Nitrite Variant 877,19.67,189.08,Poor digestion,Obesity
Rice Flour Variant 878,80.83,326.88,Hormonal imbalance,Stroke
Xanthan Gum Variant 879,40.32,221.7,Poor growth,Hypertension
Mannitol Variant 880,54.35,211.59,Memory problems,Toxicity
Caffeine Variant 881,99.43,233.95,Vision issues,Kidney damage
Vitamin D Variant 882,161.59,288.41,Hormonal imbalance,Kidney damage
Gluten Variant 883,117.71,378.73,Memory problems,Hypertension
Coconut Oil Variant 884,137.97,201.85,Poor growth,Stroke
Calcium Variant 885,4.26,191.38,Anemia,Liver strain
BHA (Butylated Hydroxyanisole) Variant 886,45.54,72.05,Low immunity,Nerve damage
Phosphorus Variant 887,106.3,282.54,Hormonal imbalance,Stroke
Carbohydrates Variant 888,122.48,170.76,Poor growth,Stroke
Vitamin C Variant 889,57.47,293.65,Bone weakness,Nerve damage
Omega-6 Variant 890,31.51,195.61,Muscle weakness,Diabetes
Trans Fat Variant 891,92.9,281.44,Low immunity,Toxicity
Vitamin A Variant 892,55.23,72.97,Anemia,Toxicity
Iodine Variant 893,101.12,348.55,Muscle weakness,Nerve damage
Fat (Total) Variant 894,126.49,414.3,Muscle weakness,Nerve damage
Aspartame Variant 895,175.25,237.58,Hormonal imbalance,Obesity
Saturated Fat Variant 896,21.71,181.09,Bone weakness,Obesity
Malic Acid Variant 897,55.39,319.6,Muscle weakness,Kidney damage
Vitamin B12 Variant 898,3.1,151.57,Hormonal imbalance,Hypertension
Probiotics Variant 899,28.77,78.97,Anemia,Liver strain
Vitamin A Variant 900,85.96,200.16,Poor digestion,Gastro issues
Corn Syrup Variant 901,178.66,437.61,Hormonal imbalance,Hypertension
Casein Variant 902,173.6,388.53,Anemia,Toxicity
Benzoic Acid Variant 903,109.15,248.34,Memory problems,Nerve damage
Phytic Acid Variant 904,14.71,90.95,Vision issues,Gastro issues
Vanillin Variant 905,25.37,189.72,Hormonal imbalance,Toxicity
Corn Syrup Variant 906,81.44,183.35,Poor digestion,Heart disease
Citric Acid Variant 907,150.31,443.55,Fatigue,Diabetes
Beetroot Powder Variant 908,21.44,106.05,Hormonal imbalance,Obesity
Probiotics Variant 909,104.49,215.42,Poor growth,Gastro issues
Vitamin A Variant 910,123.99,234.21,Low immunity,Stroke
Chromium Variant 911,149.47,379.55,Poor digestion,Kidney damage
Potassium Variant 912,75.7,263.11,Bone weakness,Nerve damage
Almonds Variant 913,121.22,196.53,Poor growth,Heart disease
High Fructose Corn Syrup Variant 914,37.42,157.02,Bone weakness,Obesity
Beetroot Powder Variant 915,58.45,181.22,Memory problems,Diabetes
Citric Acid Variant 916,118.76,377.44,Vision issues,Hypertension
Magnesium Variant 917,22.33,307.95,Hormonal imbalance,Heart disease
Calcium Variant 918,163.81,399.66,Bone weakness,Obesity
Guar Gum Variant 919,9.1,211.31,Memory problems,Nerve damage
Vitamin E Variant 920,31.23,158.9,Bone weakness,Diabetes
Magnesium Variant 921,177.31,456.62,Poor growth,Liver strain
Potassium Variant 922,126.43,207.97,Poor digestion,Nerve damage
Saturated Fat Variant 923,117.35,158.16,Low immunity,Kidney damage
Caffeine Variant 924,56.65,154.17,Low immunity,Hypertension
Tartaric Acid Variant 925,14.22,119.69,Poor digestion,Nerve damage
Selenium Variant 926,27.4,122.36,Bone weakness,Liver strain
Olive Oil Variant 927,54.76,196.19,Anemia,Nerve damage
Spirulina Variant 928,26.85,102.93,Hormonal imbalance,Nerve damage
Vitamin A Variant 929,12.66,162.36,Muscle weakness,Nerve damage
Lactic Acid Variant 930,27.85,318.68,Muscle weakness,Gastro issues
Cholesterol Variant 931,175.82,283.72,Poor digestion,Toxicity
Sorbitol Variant 932,104.59,175.89,Poor growth,Nerve damage
High Fructose Corn Syrup Variant 933,134.32,206.83,Hormonal imbalance,Nerve damage
Selenium Variant 934,126.73,245.54,Poor growth,Obesity
Calcium Variant 935,65.18,153.8,Hormonal imbalance,Heart disease
Omega-6 Fatty Acids Variant 936,51.55,167.15,Muscle weakness,Nerve damage
Potassium Sorbate Variant 937,50.44,186.64,Poor digestion,Stroke
Vitamin C Variant 938,64.29,107.88,Fatigue,Liver strain
Fructose Variant 939,190.79,265.47,Bone weakness,Stroke
Soy Protein Variant 940,47.04,265.19,Hormonal imbalance,Nerve damage
Pectin Variant 941,94.22,300.54,Vision issues,Nerve damage
Iodine Variant 942,159.36,241.41,Poor growth,Gastro issues
BHT (Butylated Hydroxytoluene) Variant 943,106.73,277.05,Muscle weakness,Diabetes
Sorbitol Variant 944,24.64,313.94,Muscle weakness,Kidney damage
Caffeine Variant 945,43.81,54.14,Vision issues,Toxicity
Calcium Propionate Variant 946,157.66,369.74,Low immunity,Gastro issues
Chlorella Variant 947,83.41,198.08,Bone weakness,Kidney damage
Antioxidants Variant 948,33.59,166.49,Fatigue,Stroke
Vitamin K Variant 949,60.81,77.16,Bone weakness,Liver strain
Dextrose Variant 950,76.45,149.2,Memory problems,Heart disease
Cholesterol Variant 951,117.43,270.61,Poor digestion,Obesity
Gluten Variant 952,141.94,199.04,Poor growth,Liver strain
Manganese Variant 953,37.78,78.31,Low immunity,Diabetes
Magnesium Variant 954,67.34,217.14,Muscle weakness,Stroke
Iodine Variant 955,31.91,146.45,Low immunity,Heart disease
Gluten Variant 956,57.2,352.88,Vision issues,Liver strain
Dextrose Variant 957,82.9,174.94,Anemia,Kidney damage
Trans Fat Variant 958,93.14,166.63,Hormonal imbalance,Diabetes
Peanuts Variant 959,143.65,193.88,Anemia,Heart disease
Vitamin B12 Variant 960,61.98,196.35,Low immunity,Obesity
Vitamin A Variant 961,77.64,258.64,Anemia,Toxicity
Peanuts Variant 962,76.18,245.32,Poor digestion,Kidney damage
Calcium Variant 963,22.01,283.49,Muscle weakness,Heart disease
Preservatives (Sodium Benzoate) Variant 964,68.63,122.54,Muscle weakness,Obesity
Chlorella Variant 965,159.35,350.36,Muscle weakness,Obesity
Selenium Variant 966,75.38,187.7,Hormonal imbalance,Diabetes
Zinc Variant 967,175.4,404.44,Bone weakness,Nerve damage
Xanthan Gum Variant 968,173.94,194.57,Vision issues,Liver strain
Palm Oil Variant 969,167.56,194.91,Muscle weakness,Toxicity
Vitamin K Variant 970,26.51,227.09,Fatigue,Liver strain
Folic Acid Variant 971,39.99,301.56,Hormonal imbalance,Obesity
Omega-3 Fatty Acids Variant 972,134.67,346.9,Anemia,Kidney damage
Vitamin E Variant 973,110.14,384.6,Vision issues,Heart disease
Lactose Variant 974,156.92,449.11,Low immunity,Kidney damage
Casein Variant 975,129.92,349.38,Poor digestion,Kidney damage
Caramel Color Variant 976,83.67,147.7,Poor growth,Stroke
Sorbitol Variant 977,188.59,278.7,Poor digestion,Heart disease
Cholesterol Variant 978,117.34,384.54,Poor growth,Nerve damage
Copper Variant 979,46,329.04,Fatigue,Gastro issues
Vitamin B3 (Niacin) Variant 980,110.44,132.78,Fatigue,Nerve damage
Beta-Carotene Variant 981,17.31,32.59,Poor growth,Liver strain
Potassium Variant 982,49.18,123.7,Fatigue,Kidney damage
Folic Acid Variant 983,111.19,224.27,Hormonal imbalance,Liver strain
High Fructose Corn Syrup Variant 984,14.45,186.76,Poor growth,Diabetes
Carrageenan Variant 985,133.32,381.68,Fatigue,Kidney damage
Trans Fat Variant 986,179.53,265.7,Low immunity,Gastro issues
Vanillin Variant 987,132.99,212.36,Poor growth,Hypertension
Fluoride Variant 988,3.65,116.98,Vision issues,Toxicity
Vitamin B12 Variant 989,61.33,91.47,Low immunity,Kidney damage
Milk Powder Variant 990,77.44,358.13,Anemia,Nerve damage
Milk Powder Variant 991,126.38,173.54,Bone weakness,Toxicity
Vitamin B6 Variant 992,199.87,301.76,Low immunity,Hypertension
Palm Oil Variant 993,115.86,281.85,Low immunity,Obesity
Calcium Variant 994,143.01,308.4,Anemia,Kidney damage
Corn Syrup Variant 995,153.29,320.46,Muscle weakness,Diabetes
Acetic Acid Variant 996,192.18,374.22,Anemia,Diabetes
BHT (Butylated Hydroxytoluene) Variant 997,25.3,106.28,Muscle weakness,Toxicity
BHT (Butylated Hydroxytoluene) Variant 998,47.1,112.35,Muscle weakness,Liver strain
Textured Vegetable Protein Variant 999,130.38,188.79,Hormonal imbalance,Heart disease
Iodine Variant 1000,10.16,104.41,Memory problems,Heart disease
